event_name,began_local,estimated_end_local,venue_name,address,city,country,segment,genre,description,estimated_attendance,event_url
Honey Slam BERLIN – Poetryslam ohne traurige Texte!,2026-06-29T19:00:00+02:00,2026-06-29T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Cultural,Segment: Arts & Theatre | Genre: Cultural,552,https://www.universe.com/events/honey-slam-berlin-poetryslam-ohne-traurige-texte-tickets-KQVW6Y?ref=ticketmaster
WIR ARBEITEN DRAN - Stand-up Comedy Berlin,2026-06-29T20:00:00+02:00,2026-06-29T22:00:00+02:00,Oblomov Kreuzkoelln,Lenaustraße 7,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,538,https://www.universe.com/events/wir-arbeiten-dran-stand-up-comedy-berlin-tickets-LF359S?ref=ticketmaster
December 10 - The Next Step,2026-06-29T20:30:00+02:00,2026-06-29T23:30:00+02:00,,Schönhauser Allee 36,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1812,https://www.ticketmaster.de/event/december-10-the-next-step-tickets/224249508?language=en-us
Cirque du Soleil ALIZÉ,2026-07-01T18:30:00+02:00,2026-07-01T20:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,700,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/2046344569?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-01T20:00:00+02:00,2026-07-01T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,623,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-07-02T19:30:00+02:00,2026-07-02T21:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,730,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1223490600?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-02T20:00:00+02:00,2026-07-02T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,653,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Delta Goodrem,2026-07-02T20:00:00+02:00,2026-07-02T23:00:00+02:00,,Schönhauser Allee 36,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1770,https://www.ticketmaster.de/event/delta-goodrem-tickets/171349745?language=en-us
Cirque du Soleil ALIZÉ,2026-07-03T16:00:00+02:00,2026-07-03T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,518,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/354335858?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-03T19:00:00+02:00,2026-07-03T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,456,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-07-03T20:00:00+02:00,2026-07-03T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,678,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/802937153?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-03T21:00:00+02:00,2026-07-03T23:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,390,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
KI/KI,2026-07-04T14:00:00+02:00,2026-07-04T17:00:00+02:00,RSO VALLEY,Schnellerstraße 137,Berlin,Germany,Music,Dance/Electronic,Segment: Music | Genre: Dance/Electronic,1710,https://www.ticketmaster.de/event/ki-ki-tickets/1226372384?language=en-us
Cirque du Soleil ALIZÉ,2026-07-04T16:00:00+02:00,2026-07-04T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,493,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1253284947?language=en-us
SUMMER MADNESS (Ü30) 04.07.2026,2026-07-04T18:00:00+02:00,2026-07-04T20:00:00+02:00,Engelnest Coworking Space and Ev,Wilhelm-Kabus-Straße 24,Berlin,Germany,Undefined,,Segment: Undefined,165,https://www.universe.com/events/summer-madness-u30-04-07-2026-tickets-41Z0TP?ref=ticketmaster
Ali Wong - Ali Wong Live,2026-07-04T18:00:00+02:00,2026-07-04T20:00:00+02:00,Tempodrom,Möckernstraße 10,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,408,https://www.ticketmaster.de/event/ali-wong-ali-wong-live-tickets/963263216?language=en-us
A night with Sinatra in Berlin,2026-07-04T19:30:00+02:00,2026-07-04T21:30:00+02:00,,Budapester Straße 45,Berlin,Germany,Arts & Theatre,Fine Art,Segment: Arts & Theatre | Genre: Fine Art,630,https://www.universe.com/events/a-night-with-sinatra-in-berlin-tickets-F5DCYB?ref=ticketmaster
Was Ihr wollt - Premiere,2026-07-04T19:30:00+02:00,2026-07-04T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,457,https://www.ticketmaster.de/event/was-ihr-wollt-premiere-tickets/337872494?language=en-us
Cirque du Soleil ALIZÉ,2026-07-04T20:00:00+02:00,2026-07-04T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,561,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1265655621?language=en-us
FLYING Steps Academy | Sommershow Classes - CombiTicket,2026-07-05T00:00:00+02:00,2026-07-05T02:00:00+02:00,Uber Eats Music Hall,Uber-Platz 2,Berlin,Germany,Arts & Theatre,Spectacular,Segment: Arts & Theatre | Genre: Spectacular,577,https://www.ticketmaster.de/event/flying-steps-academy-%7C-sommershow-classes-combiticket-tickets/1691296337?language=en-us
Cirque du Soleil ALIZÉ,2026-07-05T13:00:00+02:00,2026-07-05T15:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,681,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/694491554?language=en-us
FLYING Steps Academy - Sommershow Classes on Stage,2026-07-05T13:00:00+02:00,2026-07-05T15:00:00+02:00,Uber Eats Music Hall,Uber-Platz 2,Berlin,Germany,Arts & Theatre,Dance,Segment: Arts & Theatre | Genre: Dance,693,https://www.ticketmaster.de/event/flying-steps-academy-sommershow-classes-on-stage-tickets/192590508?language=en-us
FLYING Steps Academy - Sommershow Classes on Stage,2026-07-05T17:00:00+02:00,2026-07-05T19:00:00+02:00,Uber Eats Music Hall,Uber-Platz 2,Berlin,Germany,Arts & Theatre,Spectacular,Segment: Arts & Theatre | Genre: Spectacular,595,https://www.ticketmaster.de/event/flying-steps-academy-sommershow-classes-on-stage-tickets/1654465286?language=en-us
Cirque du Soleil ALIZÉ,2026-07-05T17:00:00+02:00,2026-07-05T19:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,652,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/172465073?language=en-us
DIKKA - BOAH IST DAS KRASS TOUR 2 | Box seat,2026-07-05T17:00:00+02:00,2026-07-05T20:00:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,2321,https://www.ticketmaster.de/event/dikka-boah-ist-das-krass-tour-2-%7C-box-seat-tickets/261122912?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-05T19:00:00+02:00,2026-07-05T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,577,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Critical Role: Echoes of Exandria - Live! 2026 | Logen-Seat,2026-07-06T20:00:00+02:00,2026-07-06T22:00:00+02:00,Uber Arena,Uber-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,633,https://www.ticketmaster.de/event/critical-role-echoes-of-exandria-live-2026-%7C-logen-seat-tickets/1101202828?language=en-us
WIR ARBEITEN DRAN - Stand-up Comedy Berlin,2026-07-06T20:00:00+02:00,2026-07-06T22:00:00+02:00,Oblomov Kreuzkoelln,Lenaustraße 7,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,661,https://www.universe.com/events/wir-arbeiten-dran-stand-up-comedy-berlin-tickets-LF359S?ref=ticketmaster
The Swingin' Hermlins,2026-07-07T19:00:00+02:00,2026-07-07T22:00:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Music,Jazz,Segment: Music | Genre: Jazz,2347,https://www.ticketmaster.de/event/the-swingin-hermlins-tickets/1266432369?language=en-us
Dua Saleh - Of Earth & Wires Tour,2026-07-07T20:00:00+02:00,2026-07-07T23:00:00+02:00,,Obentrautstraße 19-21,Berlin,Germany,Music,Hip-Hop/Rap,Segment: Music | Genre: Hip-Hop/Rap,1923,https://www.ticketmaster.de/event/dua-saleh-of-earth--wires-tour-tickets/1590083527?language=en-us
System Of A Down | Business Seat Packages,2026-07-08T18:00:00+02:00,2026-07-08T21:00:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1746,https://www.ticketmaster.de/event/system-of-a-down-%7C-business-seat-packages-tickets/1131343698?language=en-us
"System Of A Down | VIP Packages	",2026-07-08T18:00:00+02:00,2026-07-08T21:00:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1911,https://www.ticketmaster.de/event/system-of-a-down-%7C-vip-packages-tickets/312505729?language=en-us
System Of A Down,2026-07-08T18:00:00+02:00,2026-07-08T21:00:00+02:00,,Olympischer Platz 3,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,2149,https://www.ticketmaster.de/event/system-of-a-down-tickets/678953442?language=en-us
Cirque du Soleil ALIZÉ,2026-07-08T18:30:00+02:00,2026-07-08T20:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,610,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1383559813?language=en-us
Hamlet,2026-07-08T19:30:00+02:00,2026-07-08T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,613,https://www.ticketmaster.de/event/hamlet-tickets/609627524?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-08T20:00:00+02:00,2026-07-08T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,685,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Mumford & Sons - Prizefighter Tour,2026-07-09T18:45:00+02:00,2026-07-09T21:45:00+02:00,Waldbühne,Am Glockenturm 1,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,2091,https://www.ticketmaster.de/event/mumford--sons-prizefighter-tour-tickets/2066178400?language=en-us
Hamlet,2026-07-09T19:30:00+02:00,2026-07-09T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,665,https://www.ticketmaster.de/event/hamlet-tickets/1344840579?language=en-us
Cirque du Soleil ALIZÉ,2026-07-09T19:30:00+02:00,2026-07-09T21:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,585,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/25237353?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-09T20:00:00+02:00,2026-07-09T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,662,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-07-10T16:00:00+02:00,2026-07-10T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,736,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/325582544?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-10T19:00:00+02:00,2026-07-10T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,631,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Lachkater Open Air Stand Up Comedy Show Luftschloss Tempelhofer Feld,2026-07-10T19:30:00+02:00,2026-07-10T21:30:00+02:00,Luftschloss Tempelhofer Feld,Tempelhofer Damm 85,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,530,https://www.universe.com/events/lachkater-open-air-stand-up-comedy-show-luftschloss-tempelhofer-feld-tickets-XD15QP?ref=ticketmaster
Ein Sommernachtstraum,2026-07-10T19:30:00+02:00,2026-07-10T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,657,https://www.ticketmaster.de/event/ein-sommernachtstraum-tickets/482070364?language=en-us
Cirque du Soleil ALIZÉ,2026-07-10T20:00:00+02:00,2026-07-10T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,586,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/915731687?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-10T21:00:00+02:00,2026-07-10T23:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,589,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Berlin | Old but Gold Ü30 Hip Hop Festival @ Zitadelle Spandau,2026-07-11T13:00:00+02:00,2026-07-11T16:00:00+02:00,,Am Juliusturm,Berlin,Germany,Music,Undefined,Segment: Music | Genre: Undefined,1789,https://www.universe.com/events/berlin-old-but-gold-u30-hip-hop-festival-zitadelle-spandau-tickets-P214FW?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-07-11T16:00:00+02:00,2026-07-11T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,368,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1649065315?language=en-us
A night with Sinatra in Berlin,2026-07-11T19:30:00+02:00,2026-07-11T21:30:00+02:00,,Budapester Straße 45,Berlin,Germany,Arts & Theatre,Fine Art,Segment: Arts & Theatre | Genre: Fine Art,549,https://www.universe.com/events/a-night-with-sinatra-in-berlin-tickets-F5DCYB?ref=ticketmaster
Ein Sommernachtstraum,2026-07-11T19:30:00+02:00,2026-07-11T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,793,https://www.ticketmaster.de/event/ein-sommernachtstraum-tickets/1394734404?language=en-us
Cirque du Soleil ALIZÉ,2026-07-11T20:00:00+02:00,2026-07-11T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,785,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1558642139?language=en-us
Cirque du Soleil ALIZÉ,2026-07-12T13:00:00+02:00,2026-07-12T15:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,687,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/417836681?language=en-us
Cirque du Soleil ALIZÉ,2026-07-12T17:00:00+02:00,2026-07-12T19:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,568,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/497748445?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-12T19:00:00+02:00,2026-07-12T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,647,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
David Garrett - Millennium Symphony Open Air Tour 2026,2026-07-12T19:30:00+02:00,2026-07-12T22:30:00+02:00,Classic Open Air,Gendarmenmarkt,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1297,https://www.ticketmaster.de/event/david-garrett-millennium-symphony-open-air-tour-2026-tickets/945481779?language=en-us
David Garrett - Millennium Symphony Open Air Tour 2026 | VIP,2026-07-12T19:30:00+02:00,2026-07-12T22:30:00+02:00,Classic Open Air,Gendarmenmarkt,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1965,https://www.ticketmaster.de/event/david-garrett-millennium-symphony-open-air-tour-2026-%7C-vip-tickets/128571495?language=en-us
WIR ARBEITEN DRAN - Stand-up Comedy Berlin,2026-07-13T20:00:00+02:00,2026-07-13T22:00:00+02:00,Oblomov Kreuzkoelln,Lenaustraße 7,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,591,https://www.universe.com/events/wir-arbeiten-dran-stand-up-comedy-berlin-tickets-LF359S?ref=ticketmaster
The Swingin' Hermlins,2026-07-14T19:00:00+02:00,2026-07-14T22:00:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Music,Jazz,Segment: Music | Genre: Jazz,1833,https://www.ticketmaster.de/event/the-swingin-hermlins-tickets/697320385?language=en-us
Cirque du Soleil ALIZÉ,2026-07-15T18:30:00+02:00,2026-07-15T20:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,691,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1062416674?language=en-us
Brief an den Vater,2026-07-15T19:30:00+02:00,2026-07-15T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,539,https://www.ticketmaster.de/event/brief-an-den-vater-tickets/1409488078?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-15T20:00:00+02:00,2026-07-15T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,603,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Urfaust,2026-07-16T19:30:00+02:00,2026-07-16T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,728,https://www.ticketmaster.de/event/urfaust-tickets/1548080255?language=en-us
Cirque du Soleil ALIZÉ,2026-07-16T19:30:00+02:00,2026-07-16T21:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,468,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/120507812?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-16T20:00:00+02:00,2026-07-16T22:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,767,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-07-17T16:00:00+02:00,2026-07-17T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,694,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/562905213?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-17T19:00:00+02:00,2026-07-17T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,760,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Urfaust,2026-07-17T19:30:00+02:00,2026-07-17T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,584,https://www.ticketmaster.de/event/urfaust-tickets/1329460989?language=en-us
Dueja - Tour 2026,2026-07-17T20:00:00+02:00,2026-07-17T23:00:00+02:00,Mikropol,Nollendorfplatz 5,Berlin,Germany,Music,Rock,Segment: Music | Genre: Rock,1896,https://www.ticketmaster.de/event/dueja-tour-2026-tickets/103043687?language=en-us
Cirque du Soleil ALIZÉ,2026-07-17T20:00:00+02:00,2026-07-17T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,525,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/69847042?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-17T21:00:00+02:00,2026-07-17T23:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,624,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
Lollapalooza Berlin 2026 presented by essence,2026-07-18T11:00:00+02:00,2026-07-18T14:00:00+02:00,Olympiapark Berlin,Friedrich-Friesen-Allee,Berlin,Germany,Music,Undefined,Segment: Music | Genre: Undefined,1652,https://www.universe.com/events/lollapalooza-berlin-2026-presented-by-essence-tickets-D8G5XL?ref=ticketmaster
Lollapalooza Berlin 2026 presented by essence I Samstag,2026-07-18T11:00:00+02:00,2026-07-18T14:00:00+02:00,Olympiapark Berlin,Friedrich-Friesen-Allee,Berlin,Germany,Music,Undefined,Segment: Music | Genre: Undefined,1926,https://www.universe.com/events/lollapalooza-berlin-2026-presented-by-essence-i-samstag-tickets-X7TNZF?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-07-18T16:00:00+02:00,2026-07-18T18:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,664,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/287471794?language=en-us
CHARLOTTE DE WITTE,2026-07-18T16:00:00+02:00,2026-07-18T19:00:00+02:00,RSO VALLEY,Schnellerstraße 137,Berlin,Germany,Music,Dance/Electronic,Segment: Music | Genre: Dance/Electronic,1968,https://www.ticketmaster.de/event/charlotte-de-witte-tickets/475316802?language=en-us
A night with Sinatra in Berlin,2026-07-18T19:30:00+02:00,2026-07-18T21:30:00+02:00,,Budapester Straße 45,Berlin,Germany,Arts & Theatre,Fine Art,Segment: Arts & Theatre | Genre: Fine Art,595,https://www.universe.com/events/a-night-with-sinatra-in-berlin-tickets-F5DCYB?ref=ticketmaster
Urfaust,2026-07-18T19:30:00+02:00,2026-07-18T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,644,https://www.ticketmaster.de/event/urfaust-tickets/363101799?language=en-us
Cirque du Soleil ALIZÉ,2026-07-18T20:00:00+02:00,2026-07-18T22:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,853,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1896243895?language=en-us
Lollapalooza Berlin 2026 presented by essence I Sonntag,2026-07-19T11:00:00+02:00,2026-07-19T14:00:00+02:00,Olympiapark Berlin,Friedrich-Friesen-Allee,Berlin,Germany,Music,Undefined,Segment: Music | Genre: Undefined,2165,https://www.universe.com/events/lollapalooza-berlin-2026-presented-by-essence-i-sonntag-tickets-W9PK34?ref=ticketmaster
Cirque du Soleil ALIZÉ,2026-07-19T13:00:00+02:00,2026-07-19T15:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,662,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1096303434?language=en-us
Cirque du Soleil ALIZÉ,2026-07-19T17:00:00+02:00,2026-07-19T19:00:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,755,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1612345258?language=en-us
Lachkater - die Stand Up Comedy Show,2026-07-19T19:00:00+02:00,2026-07-19T21:00:00+02:00,Tati Goes Underground,Metzer Straße 2,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,625,https://www.universe.com/events/lachkater-die-stand-up-comedy-show-tickets-T6CRGJ?ref=ticketmaster
WIR ARBEITEN DRAN - Stand-up Comedy Berlin,2026-07-20T20:00:00+02:00,2026-07-20T22:00:00+02:00,Oblomov Kreuzkoelln,Lenaustraße 7,Berlin,Germany,Arts & Theatre,Comedy,Segment: Arts & Theatre | Genre: Comedy,705,https://www.universe.com/events/wir-arbeiten-dran-stand-up-comedy-berlin-tickets-LF359S?ref=ticketmaster
The Swingin' Hermlins,2026-07-21T19:00:00+02:00,2026-07-21T22:00:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Music,Jazz,Segment: Music | Genre: Jazz,2270,https://www.ticketmaster.de/event/the-swingin-hermlins-tickets/1450440182?language=en-us
Cirque du Soleil ALIZÉ,2026-07-22T18:30:00+02:00,2026-07-22T20:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,759,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/1159403997?language=en-us
Phaidon,2026-07-22T19:30:00+02:00,2026-07-22T21:30:00+02:00,,Sömmeringstraße 15,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,817,https://www.ticketmaster.de/event/phaidon-tickets/889543829?language=en-us
Cirque du Soleil ALIZÉ,2026-07-23T19:30:00+02:00,2026-07-23T21:30:00+02:00,,Marlene-Dietrich-Platz 1,Berlin,Germany,Arts & Theatre,Theatre,Segment: Arts & Theatre | Genre: Theatre,670,https://www.ticketmaster.de/event/cirque-du-soleil-alize-tickets/524827066?language=en-us
